,nickname,text,score,like,dislike,time,watch_movie
7027,breg****,늙음 속에서도 영원히 존재하는 로맨스에 대하여,6,0,1,2012-05-30 16:07:00,0
7028,dbth****,장군봉아저씨 사투리는 안어울렸다.,7,0,1,2012-05-23 18:19:00,0
7029,qhak****,이런장르는 나에게 맞지않는걸까..?따뜻하긴했지만 크게와닸지않았다,8,0,1,2012-05-12 13:20:00,0
7030,dbth****,글쎄.. 캐스팅이 뭔가 부자연스럽고 역시 만화를 옮긴 영화들은 어쩔수 없는 한계있음,6,0,1,2012-04-26 22:01:00,0
7031,stev****,지극히 감상적이고 뻔한 영화,5,0,1,2012-04-14 13:28:00,0
7032,alsd****,"코믹, 멜로, 감성 그어느것 하나 제대로 잡지못한 어설픈 영화",5,0,1,2012-04-13 00:23:00,0
7033,hylo****,좋은 영화지만 진부하다.,7,0,1,2012-04-11 20:06:00,0
7034,fann****,[7점] 정말 아름다운 영화다,7,0,1,2012-03-17 00:42:00,0
7035,glgl****,감동적이긴하나 공감과 몰입이 조금 안됐다,6,0,1,2012-03-12 14:59:00,0
7036,tomb****,"노인을 위한 영화, 앞으로도 무구한 발전이 있기를 바랍니다. 너무 멋진 영화!",7,0,1,2012-03-06 22:05:00,0
7037,mypl****,mbc단막극 동행을 따라했으면 그 이상은 해야지? 솔직히 과대평가된 작품!,6,0,1,2012-02-26 01:52:00,0
7038,mc02****,아쉽고 아쉽지만 사람들은 움직였다.,6,0,1,2012-02-22 00:31:00,0
7039,dhkq****,늙으면 다 고달펑 서글펑,6,0,1,2012-02-20 01:19:00,0
7040,firs****,굿,7,0,1,2012-02-19 00:31:00,0
7041,boyc****,"이런 이야기는, 젊은이든 노인이든 진부하구나.",4,0,1,2012-02-16 15:55:00,0
7042,wins****,난 좀 지루하던데. 나만 이상한건가. 내용은 머 좋긴함.,7,0,1,2012-02-13 18:19:00,0
7043,didw****,좀 지루하긴한데 재밌다,7,0,1,2012-02-13 00:50:00,0
7044,pria****,공감과 감동은 비례하는가?,4,0,1,2012-02-01 16:15:00,0
7045,smrm****,솔직하게 만화가 훨씬 낫다.,6,0,1,2012-01-28 20:51:00,0
7046,hadl****,"어떻게 그릴지 너무 뻔해 안 보려 했는데, 그랬다면 무지 아쉬울 뻔했다.",7,0,1,2012-01-25 01:13:00,0
7047,worm****,감정이매말랐나.. 그렇게슬프진않네..,7,0,1,2012-01-17 13:10:00,0
7048,vict****,원작엔 못미치는 듯,7,0,1,2012-01-15 21:04:00,0
7049,jotg****,1시간 정도 억지로 보면서 뭔가 있겠지...참고보다가... 꺼버렸다,2,0,1,2012-01-07 14:13:00,0
7050,godq****,"볼만해 ,근데 이뿐이할머니 목소리톤이 너무 70년대 영화톤이라 답답해",7,0,1,2011-12-31 01:42:00,0
7051,fgyu****,웃음과 감동의 적절한 분배,7,0,1,2011-12-17 23:30:00,0
7052,ryuc****,원작 내용을 이미 아는 상태여서 그 이상은 아니었다.,7,0,1,2011-11-23 00:37:00,0
7053,rane****,이런건 인간극장에나 나와야할 연출력,4,0,1,2011-11-19 04:16:00,0
7054,wldh****,영화관에서 이렇게나 울었던적이 있었나..,7,0,1,2011-11-12 18:12:00,0
7055,vjtm****,주연급 조연들의 새로운 멜로,7,0,1,2011-10-25 22:14:00,0
7056,kwon****,웹툰을 너무 충실히 옮긴 영화,6,0,1,2011-10-23 14:45:00,0
7057,tkdl****,연기도 물론 훌륭했지만.... 이 영화를 통해...많은걸 느끼고 갑니다..,7,0,1,2011-10-22 03:05:00,0
7058,fon9****,죽음은 현실이다 마음 심란해지는 영화네,7,0,1,2011-10-12 14:42:00,0
7059,pok_****,여운은있으나 . 슬프지않다,4,0,1,2011-10-01 17:37:00,0
7060,nana****,생각보다 너무 실망스러웠던...,6,0,1,2011-09-26 19:45:00,0
7061,silk****,"원작을 너무 감동적으로 봐서 그런지, 영화는 보통이었어요.",7,0,1,2011-08-31 14:36:00,0
7062,hyun****,원작에 너무 감동을 받아서일까.. 그냥 무난했다.,6,0,1,2011-08-19 23:24:00,0
7063,skrn****,우유를 전지분유로 만든영화...,7,0,1,2011-08-11 23:01:00,0
7064,thek****,평작,6,0,1,2011-07-29 02:35:00,0
7065,min6****,신파로 빠지지 않고 담백해서 더 마음에 드는 영화,7,0,1,2011-07-26 21:33:00,0
7066,soji****,잔잔하지만 아름다운 이야기......,7,0,1,2011-07-25 09:40:00,0
7067,ty93****,배우들의 연기는 대단했지만 만화에 감동이 전해지지 않는건 무었때문일까..,7,0,1,2011-07-18 21:50:00,0
7068,rnpf****,음.. 제 취향에 안맞아서 그런건지 웹툰을 볼 때 느끼는 감동보다 느낌이 덜하네요;,7,0,1,2011-07-14 17:21:00,0
7069,efre****,평점믿고 봤는데 이게 뭔가요...정말 재미없습니다 보지마세요,2,0,1,2011-07-13 23:43:00,0
7070,char****,ㅋㅋ 이게 적당하다,2,0,1,2011-07-12 19:54:00,0
7071,gust****,굿,1,0,1,2011-07-09 22:49:00,0
7072,zzz4****,그러게요?,1,0,1,2011-07-09 22:48:00,0
7073,2052****,보기 좋은 가족영화지만 빈틈이 많다,7,0,1,2011-07-08 23:53:00,0
7074,neat****,기대를 웃돌았던 노년의 로맨틱코미디,7,0,1,2011-07-06 22:21:00,0
7075,savi****,쓰레기,1,0,1,2011-07-02 01:29:00,0
7076,bero****,1점은 너무 심하고,2,0,1,2011-06-29 13:50:00,0
7077,irio****,"꽤 괜찮은 영화인건 맞지만, 원작보다 못하며 평점1위는 오바임.",6,0,1,2011-06-28 12:00:00,0
7078,wpdl****,많은 후배 연기자들이 보고 깊은 교훈을 느낄것 같다.,7,0,1,2011-06-27 17:59:00,0
7079,chey****,잘만든영화인건 알겟으나 별로 감동을느끼지못햇다,7,0,1,2011-06-27 02:07:00,0
7080,tofu****,감동적인 영화,7,0,1,2011-06-25 03:47:00,0
7081,seei****,그냥 잔잔한 영화네요..,6,0,1,2011-06-19 06:29:00,0
7082,tori****,노인을 위한 나라는 없다.,7,0,1,2011-06-14 19:17:00,0
7083,sung****,만화를 다보고 봐서그런지 조금은 지루?;; 하지만 따뜻한영화에요!ㅋㅋ,7,0,1,2011-06-13 22:56:00,0
7084,iron****,별로 안와닿았어요 보다가 껐어요그래서 ㅠㅠ,3,0,1,2011-06-13 11:33:00,0
7085,hyeo****,훈훈한 영화인듯,7,0,1,2011-06-10 02:36:00,0
7086,ippo****,"특별한 그 무엇이 있길 바라지만 .. 결국, 사랑은 다 똑같다.",6,0,1,2011-06-06 02:02:00,0
7087,jyw7****,저 영화비관론자 아니거든요... 9점 받을 만한 영화는 아닌것같습니다.,7,0,1,2011-06-05 19:36:00,0
7088,nico****,상영시간이 짧다한들 스토리가 앞뒤는 맞아야죠. 좋은만화갖다 각색을 이따위로 해요?,2,0,1,2011-06-05 07:33:00,0
7089,smk8****,징그럽긴하지만 괜찮네,6,0,1,2011-05-30 21:00:00,0
7090,gund****,"시나리오, 연출, 연기 모든 것이 틀에 박혀있다. 마치 자판기에서 뽑은 듯한 무감동.",2,0,1,2011-05-21 12:50:00,0
7091,bles****,행복해지고 싶다는 욕망에 나이가 무슨 상관이랴,7,0,1,2011-05-20 22:50:00,0
7092,impa****,"내가 감정이 메마른건가 스토리, 연출이 너무 뻔하게 느껴지더라",6,0,1,2011-05-20 22:10:00,0
